genes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
#uniSp.2,11243730.6,140044841.8,94384348.95,79995233.79,64515307.13,61186217.34,63019369.2,68963582.84,79487766.09,92496644.61,119700634.3,97925037.42,84732809.94,102797188.3,102978162.5,107625253.5,58929152.61,213087018.7,72785161.12,66838023.36,42829157.02,40547010.98,63992772.43,82672975.05,104967508.9,77453017.04,51993824.86,49197717.47,125760992.5,167663014.7,53971954.45,75068050.67,58053971.72,66082573.54,36557487.6,46755949.56,107641644,44872021.72,141794366.8,133086869.9,41599583.52,159628142.9,110466111.3,180006312.5,82770301.69,44021329.99,73002829.77,70140471.89,96189827.81,26349984.94,34187541.94,49521536.09
#uniSp.4,58840.42,75311.94,62280.49,92066.37,44840.29,40600.1,48375.64,61173.27,54270.33,61757.94,41167.45,45338.5,56593.96,51128.38,73168.61,74596.6,51835.68,152068.28,93733.31,56320.5,53980.52,26147.77,63650.52,103905.59,91574.91,52740.67,43079.58,39561.85,67803.89,104363.43,60587.44,64852.54,37762.02,53655.6,15911.5,38569.11,106768.9,28803.69,118923.43,82743.41,38555.11,104187.29,99062.85,107625,50253.51,30252.34,27903.42,51294.68,77637.87,53913.34,40293.94,39298.67
#uniSp.5,1593.88,19719.25,4952.66,13192.56,8918.92,8525.13,9021.59,5641.83,11250.75,0,11359.4,6822.78,8474.8,6807.25,28449.63,7583.11,11470.53,15803.01,2091.86,17060.74,2302.09,9518.1,13856.17,10850.9,14107.35,16812.53,12230.5,10831.32,14911.13,20683.79,11984.86,14169.11,6274.72,4937.21,3190.66,8190.79,23950.86,3019.24,24744.42,31660.2,7463.61,16630.37,6768.27,26125,19860.5,12965.29,8025.42,6322.88,4930.59,3485.22,6219.21,11841.72
eca-let-7a,620.07,28520.5,23419.92,15324.28,7444.72,18341.27,28840.69,18944.47,38009.75,24379.37,22345.67,18355.49,15103.86,17018.13,19053.42,18076.01,13931.34,5757.69,10459.32,10276.58,4087.95,33809.4,30846.94,9608.71,17204.09,23952.1,29917.49,12070.5,24645.12,11475.26,29339.46,20134.32,8161.69,36900.05,12706.91,23486.08,16035.95,19550.94,8428.96,15758.96,24225.81,17323.3,21488.07,18687.5,24174.35,19517.64,15470.97,27700.22,12250.63,12477.95,4942.64,19451.28
eca-let-7c,2796.57,163101.6,77866.8,97094.02,102211.3,109446.65,77831.98,76740.19,159459.69,113825.14,127855.4,89840.65,127589.88,128005.92,66817.47,185786.09,101647.15,62109.52,39255.83,110955,49055.45,163232.03,144052.23,53414.2,87249.31,51819.44,125219.59,99608.36,109030.18,38486.97,124603.74,123586.91,81525.94,108515.4,71727.14,125758.52,89990.93,153708.12,60045.9,170787.24,111603.65,61472.98,148759.94,107000,175831.26,103513.17,120914.81,116275.25,127285.14,98920.01,38477.28,116019.68
eca-let-7d,4.16,1504.01,1618.52,4705.88,1474.2,22.26,1539.12,18.87,4633.67,23.46,4353.05,1188.48,1325.81,6807.25,0,1058.11,39.69,0,0,40.14,0,29.47,1297.77,4639.95,0,0,0,0,2433.5,2597.28,3380.35,2836.6,22.73,17.2,4876.55,4170.31,1772.61,3924.23,0,1387.36,1175.21,0,0,0,0,1882.06,0,2436.09,0,0,0,62.54
eca-let-7e,8.32,7185.83,5098.32,4826.55,9336.61,2359.44,6085.43,6415.46,17303.58,23.46,12064.18,5458.23,2027.71,6585.28,1218.03,88.18,6469.54,0,6364.61,40.14,0,11227.24,13856.17,3726.57,49.15,460.62,14612.72,4421.26,10163.43,4013.98,5353.56,11860.9,8207.16,4438.33,1797.36,11524.53,6925.55,9471.2,2795.74,7683.82,6783.23,49.5,47.33,1750,8543.66,2439.7,8883.63,9689.6,12440.26,3033.43,16.37,3502.48
eca-let-7f,2675.89,9636.81,15893.83,6837.61,6830.47,11863.95,7908.69,10962.88,14140.38,11309.78,15836.82,11312.62,6369.1,73.99,3219.07,20368.57,18833.1,29768.47,5964.04,9513.87,14789.18,6777.6,15353.59,9718.32,6439.24,29249.19,16489.22,5798.12,14720.27,10247.45,18211.81,13293.1,2432.59,8050.92,4110.24,20851.54,5977.41,16063.6,14562.9,17644.34,9030.56,6978.82,11832.64,9625,6554.81,7319.11,9115.58,18229.59,16422.67,11423.78,6841.13,1813.78
eca-let-7g,2326.32,4177.81,6182.73,2895.93,3071.25,2515.25,1657.51,0,1060.1,0,6052.82,1232.5,0,0,3393.07,88.18,0,0,89.02,7506.72,1548.68,9.82,4033.06,73.07,0,0,1397.39,0,1407.61,2691.73,2167.3,1696.4,2091.57,0,27.87,3533.52,2844.42,514.91,2837.47,1529.65,2371.04,0,0,4375,5658.42,0,1832.39,3175.12,0,43.03,0,6921.57
eca-miR-1,0,2562.39,0,0,24.57,0,0,0,0,0,0,0,831.88,0,0,0,0,0,0,40.14,0,0,0,2520.92,0,0,0,0,0,0,0,0,0,5522.11,0,0,0,0,0,0,0,0,0,1000,0,2439.7,0,0,4172.04,0,0,0
