customerID,Group,miRNA,tRNA,piRNA,rRNA,lncRNA,mRNA,snRNA,snoRNA,yRNA,scRNA,RNA QC spike-in,spike-in calibrator,other RNA species,unclassified genomic,unmapped
1,CTRL,237200,37762,0,29597,302525,207824,9044,459,2962,0,601502,67103,23007,3762933,7277293
2,CTRL,16689,62838,0,20428,7160,112933,45,35,3455,0,2362406,0,1188,1157868,2339490
3,OA,59047,504746,0,37512,21465,207067,344,132,16595,0,5380554,474,4513,2587452,3793671
4,OA,48615,333663,0,32379,19981,182641,523,318,28127,0,3658361,759,5044,2386867,4090771
5,OA,40009,109271,0,21991,29316,176031,231,0,7043,0,2355467,4024,4554,1790321,2624796
6,CTRL,43123,43788,0,13401,24537,164925,473,254,3852,0,2486778,1386,4660,1448578,2268244
7,OA,39049,94807,0,50695,18090,166426,79,0,8912,0,2471733,634,4898,1784887,2626220
8,CTRL,49556,55450,0,12472,29719,190833,346,128,6066,0,3287400,4647,5779,1382822,2036876
9,OA,52817,81459,0,13374,25987,106952,109,0,9675,0,4310057,2598,5135,1177022,2178298
10,OA,41130,48104,0,11774,21560,119468,371,118,4639,0,3621041,1840,2924,1312386,2078820
11,CTRL,23024,63674,0,14540,10448,118668,237,132,6399,0,2678577,385,2137,1370743,2388822
12,CTRL,21652,131652,0,17187,9223,121924,109,0,10729,0,2050433,343,2222,1533638,2204789
13,OA,35943,144311,0,61462,19816,332901,554,70,5709,0,3027699,715,3124,3014002,4999513
14,CTRL,13479,121373,0,15243,15659,109089,184,0,3240,0,1293379,120,1157,1358943,1925513
15,OA,10876,29526,0,18960,6800,137908,45,24,4012,0,1097106,202,1313,1346735,5695056
16,CTRL,10624,25737,0,8594,5336,83783,58,99,1855,0,1154072,0,1089,1086818,2357947
17,CTRL,47013,110000,0,21482,35378,166186,1,144,9324,0,2694047,2309,4798,1941690,3146361
18,OA,23611,156464,0,15681,15211,196477,2,432,6609,0,4889145,621,3348,1665137,3731739
19,CTRL,21568,48518,0,11500,10293,88054,2,41,3965,0,1440604,1414,2103,1093643,1939800
20,CTRL,23835,40993,0,34166,22653,331887,389,383,2874,0,1493263,1328,4246,3010503,4361781
21,CTRL,68884,171813,0,28076,60171,189163,1399,356,9935,0,2582723,9226,6531,1935267,3541318
22,CTRL,93228,159013,0,36603,70284,331792,98,1,26391,0,3834492,11,9735,3088365,4035585
23,OA,45429,69574,0,16563,25609,268464,211,181,10226,0,2920983,1661,6099,1695937,2735320
24,CTRL,26779,128674,0,23154,16620,148313,0,0,8796,0,2089692,961,2813,1591393,2510096
25,CTRL,18890,26626,0,8663,15875,133610,160,49,2637,0,1943782,1530,2107,1261485,2190806
26,CTRL,4340,12616,0,25878,6656,175564,181,36,310,0,301124,684,701,1807966,3763920
27,OA,71094,281347,0,27510,27362,160465,97,115,23717,0,3633718,56,5590,2351398,3646272
28,CTRL,62285,66927,0,17027,36170,296295,759,167,5143,0,2847350,3407,5936,1373762,2305964
29,CTRL,38769,68825,0,13398,16579,150897,287,120,7536,0,4913764,227,4488,1050010,2356869
30,CTRL,20942,101688,0,16924,12231,108873,241,0,7596,0,3297829,945,1786,1483693,2573269
31,OA,57474,72389,0,20145,31683,296838,203,231,5854,0,3009438,2817,5231,1915365,3766508
32,OA,67027,73336,0,19011,37969,121903,556,69,13268,0,4974698,3333,5599,1286816,2470683
33,CTRL,42573,139292,0,18309,19790,117240,167,1,11777,0,2346351,1049,3604,1839418,2941122
34,OA,53911,79086,0,20590,31110,156552,82,88,10614,0,3548871,1683,5929,1494987,2451400
35,OA,64889,200321,0,29521,30329,364667,376,179,12907,0,2414789,528,12339,1956468,5455435
36,OA,72576,99647,0,8456,23589,98206,3,293,17759,0,3489503,532,6558,923978,1338551
37,OA,23806,34329,0,10323,14596,124414,49,0,4117,0,2407058,1454,1618,995217,1935264
38,CTRL,119682,191731,0,24378,29125,247930,121,2,24611,0,5352844,351,8330,1563525,3237602
39,OA,22638,35327,0,19147,19945,152325,249,276,2810,0,3141222,1478,3327,1961125,3314709
40,OA,26795,27494,0,18741,14099,131513,169,105,7016,0,3513237,354,2014,1820119,3011151
41,OA,46001,147415,0,22363,27417,173426,209,3,17041,0,1839256,796,4749,2207773,3830899
42,CTRL,18990,29724,0,12560,14819,104703,1,0,2263,0,3023721,514,1429,1517187,2660714
43,OA,20904,34001,0,12289,15026,164420,723,1,3031,0,2135662,1162,2619,1393702,2053779
44,CTRL,16057,33699,0,31986,6357,141563,179,123,3306,0,2704096,228,1612,1478624,2744659
45,OA,34001,60691,0,34191,26781,155138,808,0,8015,0,2723129,2145,3512,2224195,3910284
46,CTRL,13685,107017,0,4916,8853,31558,75,0,3846,0,579873,859,874,580173,697515
47,OA,37919,102192,0,20779,20467,126230,149,87,9052,0,2950149,195,7765,1292226,5409047
48,OA,33443,30564,0,8034,11365,120507,69,99,4770,0,2360846,1017,3630,1058737,2808739
49,OA,25675,63165,0,24970,17625,210277,1,362,5769,0,2367845,837,3384,2013939,4757332
50,CTRL,46604,71179,0,16856,32422,251617,122,77,8065,0,1011758,3269,8896,1612208,3178739
51,CTRL,58347,77049,0,39274,46539,250353,586,0,2783,0,1673501,8016,4441,2502352,4482902
52,OA,46189,1188798,0,37004,39350,262612,693,1,27978,0,2065567,4058,5613,1978474,2642133
