X	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78
A0A061DBP6	11.0511190210887	9.35027787054326	9.45810539787052	9.51073020675631	10.9360810880331	10.789022513767	9.87236944917597	11.0692933675289	9.36513988225716	9.61212718097086	9.93619202515014	8.34690571813258	11.4395731097163	10.2877621450145	11.2272235090531	10.7689852343658	11.5414815602268	11.030923275158	9.9164923410624	10.6750968099556	10.0241033469126	11.551237360019	11.5988264601143	10.8215625616446	10.4188655567971	10.4692206455051
A0A3Q2GSM3	12.8573920513371	11.9394992480564	11.5928967447115	10.8695706628373	12.6184358166909	10.2958287921235	12.1102637037977	12.2111304654326	10.1745085616943	11.2349285263438	11.6003607412667	10.915894091439	12.1027111463308	11.3991538750564	12.6267963682368	11.2492452097241	11.2850300296234	12.1628525576308	10.8539194098308	10.8267206610973	9.96609989816448	12.2439135828725	11.3944653062694	11.6039501106967	10.5573447712532	12.6735242133802
A0A3Q2GVV2	NA	6.20843591033012	NA	NA	5.39748345765464	5.67399172894936	NA	7.23413848222584	NA	7.54195798303553	4.57280088217988	5.01375314923071	6.90887662191571	NA	6.76839104454671	4.234208081102	6.98829669720781	6.94384699345724	NA	NA	NA	6.54312254597722	5.35639431960672	6.59469912315933	4.77662178588439	NA
A0A3Q2GWC9	1.33638934285259	2.93261010355077	3.10151301266237	1.39694018574348	NA	3.38264113702571	NA	NA	NA	NA	NA	NA	1.82590940393881	1.40689188952013	NA	2.9174185871663	1.37107975655971	2.13411291491175	2.15734252846332	2.44916515412567	NA	NA	1.1952368055044	1.57508590753719	NA	NA
A0A3Q2GX72	5.00780301476822	NA	5.04788381772451	NA	4.85130449497026	NA	2.65079036646156	4.42620274860788	NA	NA	NA	6.66046860573636	3.30019030872242	NA	4.33530746940088	NA	3.86567922575391	5.04007198001815	NA	3.60216836321729	5.18356552727164	4.63161269752214	4.62286684828271	NA	3.54055769488729	NA
A0A3Q2GXB1	9.93774538061488	9.15607507155129	11.067422842843	9.25727879032433	8.47775042558584	8.53111207333886	6.91318586039114	6.89463601938803	8.81396431502354	10.1381023299722	9.02243226882328	5.63563143373437	9.19947587960337	8.71422009809865	8.96898747737584	9.09664950001083	9.22167639690502	8.60658709326473	8.23888674733053	9.4860063953348	9.59972483030248	8.55127175327041	7.83242014618642	8.62627034333301	6.97755393897694	7.90305197160137
A0A3Q2GXX5	4.65583649963918	4.27070170048723	4.11764396346298	4.30022834668606	NA	4.11349322310339	NA	5.11918004317737	NA	4.57386254818303	NA	1.76904813066682	4.66383139374039	3.06752350485686	3.78746332335168	5.35759476325838	5.31276636702202	5.004878797755	NA	5.29623159994529	NA	4.67277817975939	5.39399638785865	5.2185075478247	4.0050715385815	1.17626818287725
F6R810	2.86574517160853	3.77729783351908	4.07214039262946	NA	3.11276131080724	1.77337011079886	0.717437914131658	2.74439658643197	NA	3.5753574393119	NA	NA	1.84205494592854	3.31482801095153	3.47741157534547	2.16464416120101	1.1775267257343	3.43934689884663	2.62338344072723	2.92566519522994	NA	5.85340787457173	2.6349690416016	3.42082452946641	2.06817132227246	2.2661407874408
A0A3Q2H075	1.53397795394209	0.539145480414916	NA	NA	NA	1.4760023153605	NA	2.49935932324231	NA	NA	NA	NA	3.46687435971805	-0.00980242800279775	1.66870482774758	3.18009344542207	NA	2.34694306473693	NA	2.34601159095807	NA	NA	2.90272881263898	1.90089141068197	0.970870571432748	NA
A0A3Q2H1D2	11.1832441041523	10.6488821956147	10.4869783446225	10.9576185894226	9.86110654829899	13.1824090923278	9.46730469019236	11.267756058047	11.4145766446232	11.6163931056372	11.3730302508792	9.92720180628815	11.2698852528653	10.6825589600343	10.7277957369358	11.6762234332591	11.2643107004132	11.6861963321925	11.7253421424373	11.5867164028535	8.94141686192576	9.79379295457349	11.9162467501154	11.6804259700739	10.4462979369093	11.0363032892653
A0A3Q2H306	8.67779462808522	9.73971575370657	7.62343070650914	10.8815742696715	9.90233205995428	11.024008112257	10.1363284492893	NA	8.13147924056299	10.2929384259256	7.91534899002239	10.2032486701592	7.79756120363516	8.63162181367749	9.09393600887927	8.51872758928983	7.27889159550115	6.11472652996235	10.1100952543535	9.09121353317804	NA	8.5292465051813	5.14353880567473	8.26712911009766	11.5054548389449	NA
A0A3Q2H3F6	10.5034945200724	10.3908278830116	10.6566202130218	10.6119691716186	9.71675549636799	9.62508303936645	9.14704869284631	9.81933280059332	9.79680769926541	11.5446028495392	10.6785086067048	9.27765801524373	10.3420808940985	9.97148976531864	9.70987148783694	10.8569795432984	10.3907723550846	10.8107699224328	10.0904946930765	11.2860192750565	10.5116387911891	9.8679637038992	9.70496171644773	10.5798356660719	9.1236872352545	10.1065220949227
F6WFI8	9.2123317477662	9.709616885261	9.55092760721594	9.03226410777894	9.71532586638682	8.04203405207558	9.17110884951073	9.64865563604376	10.1457407610475	9.65905409892644	10.0702425781191	8.34588788959406	8.04292300739864	9.08912582350577	10.6170367540689	7.50561091676039	7.80651439017441	8.88300856170242	9.78890877489519	7.36238596124925	8.97936873752909	11.4611839886603	6.51426462150283	8.15671032732103	7.74122488343386	10.7871372637196
A0A3Q2H593	NA	6.58439524974053	NA	6.21643925819963	NA	5.1072725500664	NA	NA	NA	NA	NA	NA	6.53083240866349	NA	7.34009143032892	3.25025104378379	NA	NA	NA	6.54662486048098	NA	7.22244066489654	6.05180302920376	6.7280486849149	5.998259112447	NA
A0A3Q2H659	4.93829622836765	2.68238585805989	NA	NA	6.63462949200365	4.70139908558456	NA	2.96040862710635	NA	NA	4.15785010364937	NA	2.57547062874752	2.7254015235277	5.9729324769844	2.64732634339063	5.13701286014902	NA	NA	3.19760025390502	NA	NA	NA	2.58721706949032	NA	2.0344252625839
A0A3Q2H6U6	2.3014645744743	4.89417391290341	NA	NA	NA	0.838117182180293	NA	NA	5.53559916727951	2.67051959656834	4.03299861646428	1.2578283382417	1.61301893815761	NA	1.60353797848793	NA	NA	1.76312264857992	NA	NA	NA	NA	2.89745539048032	1.46437464496908	5.0167516767235	NA
Q28383	6.42553287532323	NA	NA	8.1342128500987	7.45672372974986	5.37460009356163	NA	6.53390367623648	4.55620284829508	NA	NA	NA	NA	4.29573942034759	NA	5.32030770891024	5.4277578789753	3.7988241413036	3.48412444822319	5.45774207609252	7.64057090310005	6.26609776576965	NA	NA	3.53216034692185	NA
A0A3Q2H8S7	9.38225639605208	8.12015127060508	7.85122096245643	6.92670888833757	7.60641102075898	9.45314601855264	7.41373810766481	8.50140137712817	7.79121804807256	8.13731268387726	7.721825207461	6.05167790828512	9.28874053229087	8.16957138566217	9.02484097454395	9.19204803263053	9.66631936387648	8.64027107045563	7.64928659448006	9.26396771469405	8.10106780242033	8.41266882716285	9.51344237419979	9.06800427761735	7.94661693518862	8.24689119244345
A0A3Q2H908	15.4200329190728	13.7469919851795	14.6592150816414	13.9082116021479	13.172912479516	16.1433062124821	13.3389392927048	15.4822902609469	14.4418812903157	14.8504906912253	14.5583457226177	12.7207969606433	14.5621952413507	13.9221050528468	14.2390536507853	15.0621694801831	14.8209773157634	15.5001840824748	14.8337867677082	14.6738443644475	12.8503205182576	13.8682095565662	15.9735721658293	14.965868669012	14.6752986013431	14.3630094482938
A0A3Q2HAN3	7.07399969316606	5.51678655469017	6.8668405393852	6.79626391925638	6.40664802348278	6.81329016035407	7.31769957984245	7.05791672042479	8.03908453186652	7.78597867341259	5.84904277882791	4.704539829108	6.96082360343889	5.60583600686793	7.34924070422684	6.11115851218925	6.09843161784022	6.68638893549576	6.52719041265549	5.97383951777623	8.43979988684486	4.91030167342426	5.4757936208097	6.27770173718669	4.62319866626448	7.71878761593542
A0A3Q2HC10	11.305827475586	10.0606623353884	10.9002092140666	9.63017259923059	9.20914350604656	12.6547533881579	10.1470903316705	12.0013512794277	9.94127898772673	11.1369993711651	10.6681387352837	8.65224758198793	11.4136158888352	10.6592860725522	11.2028306268669	11.8185122587153	11.4672936517863	12.0110943565969	10.1191495126931	11.7061537254489	8.45791804517295	10.3944450191815	12.3838445206397	11.8043523013493	11.660451645079	10.2432184839451
A0A3Q2HCW6	6.92032891125473	6.26575334001432	7.5880743402555	5.52564995868703	6.27453000875753	6.32735716652498	5.27180894725197	6.77409913137408	6.62229270384362	7.54813810727718	7.77820961903986	5.3232068983034	4.90631231657767	5.10197789994758	5.90196954967653	5.52148433289869	5.23502226321108	6.27281159328608	6.30058115153335	6.25955531240404	7.71762893285484	5.75630155964078	5.18248121790023	5.66488513053913	5.89841260002349	4.88783934338609
A0A3Q2HE26	6.2448047429922	8.66725386240292	8.07664770511585	5.10584693567082	8.37643838677511	7.510960778444	9.12077232770944	6.77078626816368	8.20409063457057	5.40124443180456	NA	NA	4.79508690532176	6.81550183894536	7.99219477401284	4.11667229247575	5.10593540436607	7.50649757363658	8.16424293833992	5.17918531252102	4.31800928844937	4.53691963501368	4.89393914945223	6.4425331437383	3.99861013855312	8.28145748919793
A0A3Q2HI93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.19624282227047	2.67019216705721	NA	NA	NA
