X	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78
A0A061DBP6	10.9731791995169	9.45341935990171	8.88216041120604	9.4792247700844	10.7318762008695	11.4681493726752	9.97907934844033	10.9265702383456	8.44898381012979	9.14468216087931	9.26508922106294	9.4574852621033	11.8103989400543	10.1819394274606	11.4062166618846	11.6741511540387	12.2609844333964	10.774673968972	9.13597119182026	11.2751317061051	9.2284497548161	11.6078182335415	12.6103763703715	11.1012480068564	11.2304716147539	9.74387783399358
A0A3Q2GSM3	12.7794522297654	12.0426407374149	11.016951758047	10.8380652261654	12.4142309295273	10.9749556510317	12.216973603062	12.0684073362494	9.25835248956696	10.7674835062522	10.9292579371795	12.0264736354098	12.4735369766689	11.2933311575025	12.8057895210684	12.154411129397	12.004532902793	11.9066032514447	10.0733982605887	11.4267555572468	9.17044630606799	12.300494456395	12.4060152165266	11.8836355559085	11.3689508292099	11.9481814018688
A0A3Q2GVV2	NA	6.31157739968857	NA	NA	5.19327857049102	6.35311858785753	NA	7.09141535304262	NA	7.07451296294397	3.90169807809268	6.12433269320144	7.27970245225373	NA	6.94738419737824	5.13937400077487	7.7077995703774	6.6875976872712	NA	NA	NA	6.59970341949973	6.36794422986388	6.8743845683712	5.58822784384114	NA
A0A3Q2GWC9	1.25844952128083	3.03575159290922	2.52556802599789	1.36543474907156	NA	4.06176799593388	NA	NA	NA	NA	NA	NA	2.19673523427683	1.30106917196626	NA	3.82258450683916	2.09058262972931	1.87786360872571	1.37682137922119	3.04920005027521	NA	NA	2.20678671576156	1.85477135274906	NA	NA
A0A3Q2GX72	4.92986319319647	NA	4.47193883106002	NA	4.64709960780664	NA	2.75750026572592	4.28347961942465	NA	NA	NA	7.77104814970709	3.67101613906044	NA	4.51430062223241	NA	4.5851820989235	4.78382267383211	NA	4.20220325936683	4.38791193517514	4.68819357104465	5.63441675853987	NA	4.35216375284404	NA
A0A3Q2GXB1	9.85980555904312	9.25921656090973	10.4914778561786	9.22577335365241	8.27354553842222	9.21023893224704	7.0198957596555	6.7519128902048	7.89780824289616	9.67065730988065	8.35132946473608	6.7462109777051	9.57030170994139	8.60839738054478	9.14798063020737	10.0018154196837	9.94117927007461	8.3503377870787	7.4583655980884	10.0860412914843	8.80407123820599	8.60785262679292	8.84397005644358	8.90595578854488	7.78915999693369	7.17770916008989
A0A3Q2GXX5	4.57789667806742	4.37384318984568	3.54169897679849	4.26872291001414	NA	4.79262008201156	NA	4.97645691399414	NA	4.10641752809147	NA	2.87962767463755	5.03465722407841	2.96170078730299	3.96645647618321	6.26276068293124	6.03226924019161	4.74862949156897	NA	5.89626649609484	NA	4.7293590532819	6.40554629811581	5.49819299303658	4.81667759653825	0.450925371365766
F6R810	2.78780535003678	3.88043932287753	3.49619540596498	NA	2.90855642364362	2.45249696970704	0.82414781339602	2.60167345724875	NA	3.10791241922035	NA	NA	2.21288077626656	3.20900529339766	3.656404728177	3.06981008087387	1.89702959890389	3.1830975926606	1.8428622914851	3.52570009137948	NA	5.90998874809423	3.64651895185876	3.70050997467828	2.87977738022921	1.54079797592931
A0A3Q2H075	1.45603813237033	0.642286969773365	NA	NA	NA	2.15512917426868	NA	2.35663619405909	NA	NA	NA	NA	3.83770019005607	-0.115625145556666	1.84769798057911	4.08525936509493	NA	2.09069375855089	NA	2.94604648710761	NA	NA	3.91427872289614	2.18057685589384	1.7824766293895	NA
A0A3Q2H1D2	11.1053042825806	10.7520236849731	9.91103335795803	10.9261131527507	9.65690166113537	13.8615359512359	9.57401458945672	11.1250329288638	10.4984205724958	11.1489480855457	10.701927446792	11.0377813502589	11.6407110832033	10.5767362424804	10.9067888897673	12.5813893529319	11.9838135735828	11.4299470260065	10.9448209931952	12.1867512990031	8.14576326982927	9.850373828096	12.9277966603725	11.9601114152858	11.2579039948661	10.3109604777538
