X	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78
A0A061DBP6	1623.66	685.859	838.049	740.127	1803.08	1703.44	1718.44	1865.13	544.508	601.596	913.101	769.933	1878.16	1779.56	2330.35	1336.27	1986.3	1750.14	717.656	1145.2	772.57	2181.22	2480.37	1516.65	2499.4	1115
A0A3Q2GSM3	5678.55	4127.32	3680.49	1898.27	5787.01	1210.21	8106.02	4115.63	954.22	1852.75	2893.9	4568.73	2974.11	3844.81	6148.01	1864.09	1662.82	3835.46	1374.39	1272.11	742.125	3525.46	2152.77	2608.6	2751.2	5138.5
A0A3Q2GVV2	NA	77.7045	NA	NA	38.791	49.1529	NA	130.681	NA	143.259	22.1808	76.3966	81.2563	NA	105.969	14.4122	84.6057	102.977	NA	NA	NA	67.7808	32.761	80.9977	50.0439	NA
A0A3Q2GWC9	1.93228	8.02277	10.22691	2.67185	NA	10.04116	NA	NA	NA	NA	NA	NA	2.39735	3.77489	NA	5.78545	1.723649	3.67169	3.31268	3.82498	NA	NA	1.83115	2.497	NA	NA
A0A3Q2GX72	24.6193	NA	39.4149	NA	26.5653	NA	11.5139	18.6612	NA	NA	NA	239.213	6.66092	NA	19.6222	NA	9.714	27.5199	NA	8.50585	26.9644	18.0171	19.7035	NA	21.2451	NA
A0A3Q2GXB1	750.475	599.479	2556.95	620.883	328.083	356.146	220.969	103.279	371.607	866.242	484.674	117.565	397.554	597.901	487.107	419.248	397.845	326.043	224.34	502.261	575.688	272.659	182.27	331.159	230.09	188.27
A0A3Q2GXX5	19.2896	20.2829	20.6838	19.9889	NA	16.6645	NA	30.168	NA	18.3078	NA	8.05973	17.1408	11.9345	13.4224	31.3981	26.4859	26.8567	NA	27.5221	NA	18.5386	33.6261	31.2031	29.3151	1.777532
F6R810	5.57766	14.4079	20.0416	NA	7.96088	3.29113	3.01457	5.81655	NA	9.16339	NA	NA	2.42433	14.1661	10.82668	3.43344	1.507244	9.07362	4.57585	5.32194	NA	42.0225	4.96737	8.97514	7.65643	3.78357
A0A3Q2H075	2.2159	1.526932	NA	NA	NA	2.67811	NA	4.90797	NA	NA	NA	NA	7.47672	1.413959	3.09044	6.94081	NA	4.25534	NA	3.56104	NA	NA	5.9804	3.12965	3.57854	NA
A0A3Q2H1D2	1779.38	1687.15	1709.98	2017.73	855.885	8949.69	1297.77	2140.19	2253.96	2413.51	2472.01	2302.34	1669.75	2339.69	1648.46	2506.11	1639.11	2756.32	2514.4	2154.3	364.768	645.143	3090.79	2750.61	2547.38	1651.9
A0A3Q2H306	313.367	898.395	234.951	1914.13	880.695	2004.77	2063.45	NA	231.545	964.383	225.001	2787.84	150.445	564.631	531.175	280.866	103.485	57.9629	820.723	382.019	NA	268.528	28.2671	258.181	5308.01	NA
A0A3Q2H3F6	1110.82	1410.82	1923.35	1587.86	774.393	760.232	1039.42	784.212	734.428	2296.35	1527.49	1467.7	877.717	1429.24	814.053	1420.31	894.637	1502.45	809.648	1748.99	1083.18	679.178	667.431	1282.68	1018.47	867.145
F6WFI8	453.905	879.846	893.741	531.219	773.626	253.747	1056.9	696.714	935.381	621.486	1002.01	769.39	178.336	775.331	1526.64	139.162	149.179	394.899	656.916	115.254	374.491	2049.23	73.0989	239.158	390.648	1389.88
A0A3Q2H593	NA	100.8373	NA	75.4442	NA	33.1856	NA	NA	NA	NA	NA	NA	62.5251	NA	157.499	7.28668	NA	NA	NA	65.4768	NA	108.543	53.0513	88.8413	116.708	NA
A0A3Q2H659	23.4613	6.74527	NA	NA	91.4427	25.0478	NA	6.75603	NA	NA	16.6366	NA	4.03062	9.41489	61.0551	4.79768	23.4481	NA	NA	6.42585	NA	NA	NA	5.03617	NA	3.22217
