"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043228","GO:0043228","non-membrane-bounded organelle","22/52","35/216",6.97089776078058e-08,3.97689717252532e-05,NA,"F7BH02/A0A5F5PYS7/F6ULM3/A0A3Q2LFC7/Q2Z1P9/F6WFI8/F6WGX6/F6VFV9/A0A3Q2I3W5/F6Q1M4/A0A3Q2I3K2/P60708/F6Z688/F6R810/A0A3Q2LCW0/F7AGY4/F6VJG5/F7B435/F6WDW3/F7BRA4/F6SHJ8/F6Q666",22
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","22/52","35/216",6.97089776078058e-08,3.97689717252532e-05,NA,"F7BH02/A0A5F5PYS7/F6ULM3/A0A3Q2LFC7/Q2Z1P9/F6WFI8/F6WGX6/F6VFV9/A0A3Q2I3W5/F6Q1M4/A0A3Q2I3K2/P60708/F6Z688/F6R810/A0A3Q2LCW0/F7AGY4/F6VJG5/F7B435/F6WDW3/F7BRA4/F6SHJ8/F6Q666",22
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","11/52","13/216",3.40058909242569e-06,0.00129335738481924,NA,"A0A5F5PYS7/F6WGX6/F6Q1M4/A0A3Q2I3K2/P60708/F6R810/A0A3Q2LCW0/F7AGY4/F6WDW3/F6SHJ8/F6Q666",11
"GO:0005882","GO:0005882","intermediate filament","8/52","8/216",7.30095312217262e-06,0.00159182905055334,NA,"A0A5F5PYS7/F6WGX6/F6Q1M4/A0A3Q2I3K2/A0A3Q2LCW0/F7AGY4/F6WDW3/F6SHJ8",8
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","8/52","8/216",7.30095312217262e-06,0.00159182905055334,NA,"A0A5F5PYS7/F6WGX6/F6Q1M4/A0A3Q2I3K2/A0A3Q2LCW0/F7AGY4/F6WDW3/F6SHJ8",8
"GO:0005856","GO:0005856","cytoskeleton","17/52","28/216",8.54511140261369e-06,0.00159182905055334,NA,"F7BH02/A0A5F5PYS7/F6ULM3/Q2Z1P9/F6WGX6/A0A3Q2I3W5/F6Q1M4/A0A3Q2I3K2/P60708/F6R810/A0A3Q2LCW0/F7AGY4/F6VJG5/F7B435/F6WDW3/F6SHJ8/F6Q666",17
"GO:0099080","GO:0099080","supramolecular complex","15/52","23/216",9.76582239603274e-06,0.00159182905055334,NA,"F7BH02/A0A5F5PYS7/Q2Z1P9/F6WGX6/F6Q1M4/A0A3Q2I3K2/P60708/F6Z688/F6R810/A0A3Q2LCW0/F7AGY4/F6WDW3/F7BRA4/F6SHJ8/F6Q666",15
"GO:0043226","GO:0043226","organelle","33/52","82/216",1.73000252053144e-05,0.00246741609490797,NA,"Q9GKX7/F7BH02/A0A5F5PYS7/F6ULM3/A0A3Q2LFC7/F6Z2L5/A0A5F5Q2W2/F7ANR3/Q8MKD1/Q2Z1P9/F6WFI8/F6WGX6/F6VFV9/A0A3Q2I3W5/F6Q1M4/A0A3Q2I3K2/F6VBP9/P60708/F6Z688/F6R810/A0A3Q2LCW0/F7AGY4/F6X200/F6VJG5/A0A3Q2LQH7/F7B435/F6WDW3/F7BRA4/A0A3Q2LG05/A0A3Q2HE26/F6SHJ8/F6Q666/F6Z8V2",33
"GO:0099081","GO:0099081","supramolecular polymer","13/52","20/216",4.94804508236555e-05,0.00564571943897909,NA,"F7BH02/A0A5F5PYS7/Q2Z1P9/F6WGX6/F6Q1M4/A0A3Q2I3K2/P60708/F6R810/A0A3Q2LCW0/F7AGY4/F6WDW3/F6SHJ8/F6Q666",13
"GO:0099512","GO:0099512","supramolecular fiber","13/52","20/216",4.94804508236555e-05,0.00564571943897909,NA,"F7BH02/A0A5F5PYS7/Q2Z1P9/F6WGX6/F6Q1M4/A0A3Q2I3K2/P60708/F6R810/A0A3Q2LCW0/F7AGY4/F6WDW3/F6SHJ8/F6Q666",13
"GO:0043229","GO:0043229","intracellular organelle","31/52","79/216",9.06285632152799e-05,0.00940065369351221,NA,"Q9GKX7/F7BH02/A0A5F5PYS7/F6ULM3/A0A3Q2LFC7/F6Z2L5/A0A5F5Q2W2/F7ANR3/Q8MKD1/Q2Z1P9/F6WFI8/F6WGX6/F6VFV9/A0A3Q2I3W5/F6Q1M4/A0A3Q2I3K2/F6VBP9/P60708/F6Z688/F6R810/A0A3Q2LCW0/F7AGY4/F6X200/F6VJG5/F7B435/F6WDW3/F7BRA4/A0A3Q2LG05/F6SHJ8/F6Q666/F6Z8V2",31
"GO:0045095","GO:0045095","keratin filament","6/52","6/216",0.000154801368373023,0.0147190301094682,NA,"A0A5F5PYS7/F6WGX6/A0A3Q2LCW0/F7AGY4/F6WDW3/F6SHJ8",6
"GO:0009894","GO:0009894","regulation of catabolic process","9/52","13/216",0.000481268111874037,0.0422405319729443,NA,"F7BH02/F6Z2L5/Q2Z1P9/F6VBP9/F6RM73/P0DN28/F7B435/A0A3Q2LG05/F7A1W7",9
"GO:0005622","GO:0005622","intracellular anatomical structure","34/52","99/216",0.000989835706090485,0.0806716100463746,NA,"Q9GKX7/F7BH02/A0A5F5PYS7/F6ULM3/A0A3Q2LFC7/F6Z2L5/A0A5F5Q2W2/F7ANR3/Q8MKD1/Q2Z1P9/F6WFI8/F6WGX6/F6VFV9/A0A3Q2I3W5/F6Q1M4/A0A3Q2I3K2/F6VBP9/P60708/F6Z688/F6R810/A0A3Q2LCW0/F7AGY4/F6X200/F6VJG5/P02062/A0A3Q2LQH7/F7B435/F6WDW3/F7BRA4/A0A3Q2LG05/F6SHJ8/F6Q666/F6Z8V2/P49066",34
"GO:0009895","GO:0009895","negative regulation of catabolic process","4/52","4/216",0.00306940372786438,0.161439574924061,NA,"F7BH02/Q2Z1P9/F6RM73/P0DN28",4
"GO:0046982","GO:0046982","protein heterodimerization activity","4/52","4/216",0.00306940372786438,0.161439574924061,NA,"A0A5F5PYS7/F6WFI8/F6VFV9/F6RM73",4
"GO:0055090","GO:0055090","acylglycerol homeostasis","4/52","4/216",0.00306940372786438,0.161439574924061,NA,"F6Z2L5/F6VBP9/P0DN28/A0A5F5PQA2",4
"GO:0070328","GO:0070328","triglyceride homeostasis","4/52","4/216",0.00306940372786438,0.161439574924061,NA,"F6Z2L5/F6VBP9/P0DN28/A0A5F5PQA2",4
"GO:0005634","GO:0005634","nucleus","13/52","27/216",0.00307702415422627,0.161439574924061,NA,"Q9GKX7/F7BH02/A0A5F5Q2W2/F7ANR3/Q8MKD1/F6WFI8/F6VFV9/A0A3Q2I3W5/P60708/F6Z688/F6X200/F7BRA4/F6Z8V2",13
