"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0008289","GO:0008289","lipid binding",23,-0.715491879654699,-1.82306548355083,5.96229687931243e-05,0.0232790322027114,0.0185785684942938,56,"tags=61%, list=25%, signal=51%","F6TY91/F6UEG9/F6PN89/F7DU87/F7C0D2/A0A3Q2HW24/A0A3Q2HRX3/P0DN28/F7A1W7/A0A5F5PEE6/F6Z2L5/F6VBP9/F6YR34/F6RM73"
"GO:0071813","GO:0071813","lipoprotein particle binding",5,-0.940366972477064,-1.70676963430434,8.15853932338017e-05,0.0232790322027114,0.0185785684942938,19,"tags=100%, list=9%, signal=94%","F6VBP9/F6YR34/F6RM73/F7C1Y3"
"GO:0071814","GO:0071814","protein-lipid complex binding",5,-0.940366972477064,-1.70676963430434,8.15853932338017e-05,0.0232790322027114,0.0185785684942938,19,"tags=100%, list=9%, signal=94%","F6VBP9/F6YR34/F6RM73/F7C1Y3"
"GO:0005575","GO:0005575","cellular_component",205,-0.705900828035451,-1.8150230401431,0.000217829476838388,0.0249993939017503,0.019951557602356,98,"tags=47%, list=44%, signal=325%","F6WDW3/F7AGT7/F7ANR3/A0A5F5PQS3/Q28372/A0A5F5PWY1/F6PJ16/F7B435/F6XWM5/F6VKF1/F6WZA8/A0A3Q2KM06/F6W2I4/F6W4R2/F6PVG3/P49066/F6SP74/F7ASK6/F6XIH6/Q2V905/F6Z688/F6PJC0/F6TCI4/A0A3Q2HAN3/F6WGX6/F6TMF6/F6QP45/A0A5F5PW18/A0A5F5Q0V8/A0A3Q2LG05/A0A3Q2I9Y1/A0A3Q2IE19/A0A3Q2I3K2/A0A5F5PYS7/A0A3Q2LBE4/F6VJR6/F6R810/Q9GKX7/F6V3C6/A0A3Q2LQH7/Q29482/A0A5F5PTP6/F6TY91/F6UEG9/F7AE68/F6PN89/F7DU87/A0A3Q2HCW6/F6X485/A0A3Q2LBD1/F7C0D2/Q8MKD1/P38029/A0A3Q2I3W5/F6Q8R0/F7CGV8/A0A5F5PSR8/F6XJD0/A0A5F5Q2W2/A0A3Q2HW24/F6Q1M4/F6VJG5/A0A3Q2HRX3/P0DN28/F7A1W7/A0A3Q2HE26/P02062/F6VFV9/A0A3Q2HN78/Q6WEB5/A0A3Q2GX72/A0A5F5PQQ6/F6WRS9/F7A370/A0A5F5PEE6/F6U187/F6RA08/F6X200/F6Z2L5/F6WFI8/F6PPQ0/F6VBP9/F7BKE1/F6ULM3/F6YR34/P60708/F6V881/A0A3Q2HIE9/F6ZIA3/F7AFC8/F7BH02/Q2Z1P9/F6RM73/F7C1Y3/A0A5F5PQA2/A0A3Q2LFC7"
"GO:0110165","GO:0110165","cellular anatomical entity",205,-0.705900828035451,-1.8150230401431,0.000217829476838388,0.0249993939017503,0.019951557602356,98,"tags=47%, list=44%, signal=325%","F6WDW3/F7AGT7/F7ANR3/A0A5F5PQS3/Q28372/A0A5F5PWY1/F6PJ16/F7B435/F6XWM5/F6VKF1/F6WZA8/A0A3Q2KM06/F6W2I4/F6W4R2/F6PVG3/P49066/F6SP74/F7ASK6/F6XIH6/Q2V905/F6Z688/F6PJC0/F6TCI4/A0A3Q2HAN3/F6WGX6/F6TMF6/F6QP45/A0A5F5PW18/A0A5F5Q0V8/A0A3Q2LG05/A0A3Q2I9Y1/A0A3Q2IE19/A0A3Q2I3K2/A0A5F5PYS7/A0A3Q2LBE4/F6VJR6/F6R810/Q9GKX7/F6V3C6/A0A3Q2LQH7/Q29482/A0A5F5PTP6/F6TY91/F6UEG9/F7AE68/F6PN89/F7DU87/A0A3Q2HCW6/F6X485/A0A3Q2LBD1/F7C0D2/Q8MKD1/P38029/A0A3Q2I3W5/F6Q8R0/F7CGV8/A0A5F5PSR8/F6XJD0/A0A5F5Q2W2/A0A3Q2HW24/F6Q1M4/F6VJG5/A0A3Q2HRX3/P0DN28/F7A1W7/A0A3Q2HE26/P02062/F6VFV9/A0A3Q2HN78/Q6WEB5/A0A3Q2GX72/A0A5F5PQQ6/F6WRS9/F7A370/A0A5F5PEE6/F6U187/F6RA08/F6X200/F6Z2L5/F6WFI8/F6PPQ0/F6VBP9/F7BKE1/F6ULM3/F6YR34/P60708/F6V881/A0A3Q2HIE9/F6ZIA3/F7AFC8/F7BH02/Q2Z1P9/F6RM73/F7C1Y3/A0A5F5PQA2/A0A3Q2LFC7"
"GO:0042627","GO:0042627","chylomicron",8,-0.861590473129369,-1.77010870968089,0.000292048994179325,0.0249993939017503,0.019951557602356,35,"tags=88%, list=16%, signal=77%","A0A3Q2HRX3/P0DN28/F7A1W7/A0A5F5PEE6/F6Z2L5/F6VBP9/F6RM73"
"GO:0050790","GO:0050790","regulation of catalytic activity",26,-0.656252444526023,-1.70222900074159,0.000287769929249686,0.0249993939017503,0.019951557602356,45,"tags=50%, list=20%, signal=45%","P38029/F6XJD0/P0DN28/F7A1W7/A0A5F5PQQ6/F7A370/A0A5F5PEE6/F6Z2L5/F6VBP9/F7BKE1/F6YR34/Q2Z1P9/F6RM73"
"GO:0065009","GO:0065009","regulation of molecular function",35,-0.638506403558148,-1.7010786412261,0.000141554264474106,0.0249993939017503,0.019951557602356,45,"tags=46%, list=20%, signal=43%","P38029/F6XJD0/P0DN28/F7A1W7/A0A5F5PQQ6/F7A370/A0A5F5PEE6/F6RA08/F6Z2L5/F6VBP9/F7BKE1/F6ULM3/F6YR34/F7BH02/Q2Z1P9/F6RM73"
"GO:0015748","GO:0015748","organophosphate ester transport",5,-0.922018348623853,-1.67346681217157,0.000277161546616619,0.0249993939017503,0.019951557602356,23,"tags=100%, list=10%, signal=92%","F6Z2L5/F6VBP9/Q2Z1P9/F6RM73"
"GO:0015914","GO:0015914","phospholipid transport",5,-0.922018348623853,-1.67346681217157,0.000277161546616619,0.0249993939017503,0.019951557602356,23,"tags=100%, list=10%, signal=92%","F6Z2L5/F6VBP9/Q2Z1P9/F6RM73"
"GO:1901566","GO:1901566","organonitrogen compound biosynthetic process",9,-0.826442123323789,-1.76368616115781,0.000545748142494911,0.0399770521984047,0.0319049518897746,35,"tags=78%, list=16%, signal=68%","A0A3Q2HRX3/A0A3Q2HN78/F6U187/F6Z2L5/F6VBP9/F6YR34/F6RM73"
"GO:0055088","GO:0055088","lipid homeostasis",7,-0.875,-1.7508996208265,0.000560425965398198,0.0399770521984047,0.0319049518897746,35,"tags=100%, list=16%, signal=87%","P0DN28/A0A5F5PEE6/F6Z2L5/F6VBP9/F6RM73/A0A5F5PQA2"
"GO:0040007","GO:0040007","growth",9,0.777440203871258,2.228002595678,0.00140794993567617,0.0402880621437412,0.0321531632209642,43,"tags=78%, list=19%, signal=65%","Q28377/F6QYS3/A0A3Q2LDF3/A0A3Q2L7R0/A0A3Q2HRL2/F6ZI35/F6ZSZ5"
"GO:0019637","GO:0019637","organophosphate metabolic process",14,-0.74686259625751,-1.73424757891801,0.000731601514879964,0.0402880621437412,0.0321531632209642,33,"tags=57%, list=15%, signal=52%","F7A1W7/A0A3Q2HN78/A0A5F5PEE6/F6U187/F6Z2L5/F6ULM3/Q2Z1P9/F6RM73"
"GO:0005543","GO:0005543","phospholipid binding",14,-0.740660711131379,-1.71984653069493,0.000977170551524085,0.0402880621437412,0.0321531632209642,55,"tags=71%, list=25%, signal=57%","F6UEG9/F6PN89/A0A3Q2HW24/A0A3Q2HRX3/P0DN28/A0A5F5PEE6/F6Z2L5/F6VBP9/F6YR34/F6RM73"
"GO:0051235","GO:0051235","maintenance of location",7,-0.856503062588565,-1.71388672859778,0.00127275016578341,0.0402880621437412,0.0321531632209642,35,"tags=71%, list=16%, signal=62%","A0A3Q2HRX3/F6Z2L5/F6VBP9/F7BH02/A0A5F5PQA2"
"GO:0006638","GO:0006638","neutral lipid metabolic process",7,-0.855760028887898,-1.7123998972552,0.00131780211311805,0.0402880621437412,0.0321531632209642,35,"tags=86%, list=16%, signal=75%","A0A3Q2HRX3/P0DN28/A0A5F5PEE6/F6Z2L5/F6VBP9/F6RM73"
"GO:0006639","GO:0006639","acylglycerol metabolic process",7,-0.855760028887898,-1.7123998972552,0.00131780211311805,0.0402880621437412,0.0321531632209642,35,"tags=86%, list=16%, signal=75%","A0A3Q2HRX3/P0DN28/A0A5F5PEE6/F6Z2L5/F6VBP9/F6RM73"
"GO:0010876","GO:0010876","lipid localization",13,-0.738448792795359,-1.69636004340465,0.00127330440960742,0.0402880621437412,0.0321531632209642,55,"tags=92%, list=25%, signal=74%","F6UEG9/F7C0D2/A0A3Q2HRX3/P0DN28/F7A1W7/A0A5F5PEE6/F6Z2L5/F6VBP9/F6YR34/Q2Z1P9/F6RM73/A0A5F5PQA2"
"GO:0034364","GO:0034364","high-density lipoprotein particle",12,-0.753069975345154,-1.69357771510901,0.00113054009327932,0.0402880621437412,0.0321531632209642,58,"tags=75%, list=26%, signal=59%","Q29482/F6UEG9/P0DN28/F7A1W7/A0A5F5PEE6/F6Z2L5/F6VBP9/F6RM73/A0A5F5PQA2"
"GO:0022008","GO:0022008","neurogenesis",12,-0.7461616481575,-1.67804159050342,0.00155316127423301,0.0402880621437412,0.0321531632209642,16,"tags=50%, list=7%, signal=49%","F6VBP9/F7BKE1/P60708/F6V881/F6ZIA3/F7BH02"
