"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005577","GO:0005577","fibrinogen complex","4/39","5/612",6.77808619087677e-05,0.0281134894930265,NA,"Q28377/A0A3Q2HTG2/F6PH38/A0A5F5PPB8",4
"GO:0006956","GO:0006956","complement activation","8/39","26/612",8.84117095887383e-05,0.0281134894930265,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",8
"GO:0006958","GO:0006958","complement activation, classical pathway","7/39","20/612",0.000104208921093841,0.0281134894930265,NA,"H9GZT5/A0A3Q2H908/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",7
"GO:0006959","GO:0006959","humoral immune response","9/39","34/612",0.000111450899873247,0.0281134894930265,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",9
"GO:0006955","GO:0006955","immune response","14/39","83/612",0.000218674850771295,0.0441285848856473,NA,"F6R528/F6V881/H9GZT5/A0A3Q2H908/F6VTD3/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A3Q2HVB6/A0A3Q2HB83/F6YWC0/H9GZV1/A0A3Q2HXD5",14
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","7/39","23/612",0.000285520585795355,0.0480150451779189,NA,"H9GZT5/A0A3Q2H908/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",7
"GO:0006910","GO:0006910","phagocytosis, recognition","4/39","7/612",0.000431813106068002,0.0622427748603734,NA,"H9GZT5/A0A3Q2H908/A0A3Q2HVB6/H9GZV1",4
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","7/39","26/612",0.000663568056535388,0.0743933521160229,NA,"H9GZT5/A0A3Q2H908/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",7
"GO:0019724","GO:0019724","B cell mediated immunity","7/39","26/612",0.000663568056535388,0.0743933521160229,NA,"H9GZT5/A0A3Q2H908/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",7
"GO:0002253","GO:0002253","activation of immune response","8/39","38/612",0.00156301474259935,0.155479661892553,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",8
