Accession,Protein
A0A061DBP6,von Willebrand factor
A0A0B4J1B5,Fc receptor gamma-chain
A0A3Q2GS39,40S ribosomal protein S23
A0A3Q2GS85,Contactin 1
A0A3Q2GS92,Ring finger protein 213
A0A3Q2GSM3,2-phospho-D-glycerate hydro-lyase
A0A3Q2GSR0,Annexin
A0A3Q2GSU0,Myoferlin
A0A3Q2GSY7,60S ribosomal protein L21
A0A3Q2GT03,Syndecan binding protein
A0A3Q2GT24,Annexin
A0A3Q2GT53,C-type lectin domain family 3 member B
A0A3Q2GT62,Histone H2A
A0A3Q2GTB7,Ubiquitin protein ligase E3 component n-recognin 4
A0A3Q2GTP1,Endophilin-B1
A0A3Q2GTR9,Caveolae associated protein 1
A0A3Q2GTT0,Ig-like domain-containing protein
A0A3Q2GTT3,Rh blood group CcEe antigens
A0A3Q2GUG1,Rho GTPase activating protein 17
A0A3Q2GUI8,Adhesion G protein-coupled receptor E1
A0A3Q2GUV8,ATP binding cassette subfamily A member 9
A0A3Q2GUY2,Structural maintenance of chromosomes protein
A0A3Q2GUY5,Protein kinase cAMP-dependent type II regulatory subunit alpha
A0A3Q2GV00,Lysosomal associated membrane protein 1
A0A3Q2GVG0,AP-2 complex subunit mu
A0A3Q2GVL4,Ubiquitin carboxyl-terminal hydrolase
A0A3Q2GVU3,Ribosomal protein S6 kinase
A0A3Q2GVV2,Vascular cell adhesion molecule 1
A0A3Q2GVX6,Uncharacterized protein
A0A3Q2GW51,Ribonuclease inhibitor
A0A3Q2GW75,CD109 molecule
A0A3Q2GWA2,Thioredoxin interacting protein
A0A3Q2GWI8,Phosphoglucomutase 2
A0A3Q2GWK7,Sorting nexin
A0A3Q2GWN1,Regulator of chromosome condensation 2
A0A3Q2GX00,Butyrophilin-like protein 10
A0A3Q2GXB1,Gc-globulin
A0A3Q2GXE1,"H1.4 linker histone, cluster member"
A0A3Q2GXL1,Gp_dh_C domain-containing protein
A0A3Q2GXN3,Sorting nexin
A0A3Q2GXQ7,Galectin
A0A3Q2GXS6,Glutathione S-transferase alpha 4
A0A3Q2GXS8,EH domain containing 2
A0A3Q2GXX5,Fibulin-1
A0A3Q2GXX6,Hippocalcin like 1
A0A3Q2GXZ5,Cystatin-B
A0A3Q2GYG1,Coiled-coil domain-containing protein 67
A0A3Q2GYH9,Active breakpoint cluster region-related protein
A0A3Q2GYK6,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
A0A3Q2GYQ4,Clathrin heavy chain
A0A3Q2GYV1,RAS related
A0A3Q2GZB6,Cathepsin X
A0A3Q2GZG4,Ankyrin 2
A0A3Q2GZN7,Uncharacterized protein
A0A3Q2GZZ2,Piezo-type mechanosensitive ion channel component
A0A3Q2H060,Plexin C1
A0A3Q2H075,Vitamin K-dependent protein C
A0A3Q2H076,Uncharacterized protein
A0A3Q2H094,Cytoplasmic FMR1-interacting protein
A0A3Q2H097,60S ribosomal protein L13a
A0A3Q2H0E3,Surfeit locus protein 4
A0A3Q2H0I7,Myosin heavy chain 4
A0A3Q2H151,Tenascin XB
A0A3Q2H195,"RAB7A, member RAS oncogene family"
A0A3Q2H1D2,Ig-like domain-containing protein
A0A3Q2H1R3,Uncharacterized protein
A0A3Q2H1S2,"SH3 domain containing GRB2 like 1, endophilin A2"
A0A3Q2H2J1,Acyl-CoA dehydrogenase very long chain
A0A3Q2H2L4,LIM and calponin homology domains 1
A0A3Q2H2M2,Chloride intracellular channel protein
A0A3Q2H306,Ig-like domain-containing protein
A0A3Q2H348,72 kDa gelatinase
A0A3Q2H363,Dihydropyrimidinase-related protein 2
A0A3Q2H3F6,Inter-alpha-trypsin inhibitor heavy chain 4
A0A3Q2H3M7,Histone H2B
A0A3Q2H3Z9,"Troponin T, fast skeletal muscle"
A0A3Q2H421,Supervillin
A0A3Q2H451,T-complex protein 1 subunit delta
A0A3Q2H452,Septin 9
A0A3Q2H4G7,6-phosphofructokinase
A0A3Q2H4M1,ATP-citrate synthase
A0A3Q2H4Q2,Phospholipid phosphatase 3
A0A3Q2H4Z3,Vacuolar protein sorting 4 homolog B
A0A3Q2H514,Chloride intracellular channel protein
A0A3Q2H544,Dynamin GTPase
A0A3Q2H593,Erythrocyte membrane protein band 4.1 like 1
A0A3Q2H5I1,CKLF like MARVEL transmembrane domain containing 7
A0A3Q2H5J5,"RAB10, member RAS oncogene family"
A0A3Q2H5K6,N-myc downstream-regulated gene 1 protein
A0A3Q2H666,ABC-type glutathione-S-conjugate transporter
A0A3Q2H680,Complement factor H-like
A0A3Q2H6D8,"RAB11A, member RAS oncogene family"
A0A3Q2H6S9,NCK associated protein 1
A0A3Q2H6V0,VAMP associated protein A
A0A3Q2H733,59 kDa serine/threonine-protein kinase
A0A3Q2H7K4,G3BP stress granule assembly factor 1
A0A3Q2H7R9,Macrophage-capping protein
A0A3Q2H7V7,Heat shock protein 90 beta family member 1
A0A3Q2H857,Synaptotagmin binding cytoplasmic RNA interacting protein
A0A3Q2H867,F-actin-capping protein subunit beta
A0A3Q2H875,Hemoglobin subunit alpha
A0A3Q2H8G8,Carboxylic ester hydrolase
A0A3Q2H8S7,Ig-like domain-containing protein
A0A3Q2H8X1,Ras-related GTP-binding protein
A0A3Q2H8Z9,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
A0A3Q2H905,Protein-tyrosine-phosphatase
A0A3Q2H908,Uncharacterized protein
A0A3Q2H9N2,Dihydropyrimidinase like 3
A0A3Q2H9Q0,Argininosuccinate lyase
A0A3Q2H9R1,Ribosomal protein L32
A0A3Q2HA78,CD248 molecule
A0A3Q2HA79,Phosphofurin acidic cluster sorting protein 2
A0A3Q2HAN3,Vitamin K-dependent protein S
A0A3Q2HB10,Cell cycle control protein 50A
A0A3Q2HB68,Fibroblast activation protein alpha
A0A3Q2HB83,Low affinity immunoglobulin gamma Fc region receptor III-B
A0A3Q2HBC0,Myosin IC
A0A3Q2HBF9,Solute carrier family 3 member 2
A0A3Q2HBH2,Radixin
A0A3Q2HBM1,Microfibril associated protein 5
A0A3Q2HBP1,Heme binding protein 1
A0A3Q2HBU2,60S ribosomal protein L17
A0A3Q2HC10,CD5 molecule like
A0A3Q2HC57,GTP-binding nuclear protein Ran
A0A3Q2HCD2,Aldo-keto reductase family 1 member B
A0A3Q2HCG1,HGF activator
A0A3Q2HCK9,Ankyrin 1
A0A3Q2HD15,Cathepsin B
A0A3Q2HD59,Ubiquinol-cytochrome c reductase core protein 2
A0A3Q2HE09,Dynamin GTPase
A0A3Q2HE28,Dynein heavy chain domain 1
A0A3Q2HEJ5,CD44 antigen
A0A3Q2HEY8,Septin-8
A0A3Q2HG56,Guanine nucleotide-binding protein subunit gamma
A0A3Q2HG96,ADAM metallopeptidase domain 17
A0A3Q2HGB8,Collectin-12
A0A3Q2HGD1,Phosphatidylinositol 4-kinase alpha
A0A3Q2HGH1,Uncharacterized protein
A0A3Q2HGV6,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
A0A3Q2HH35,SH3 domain containing kinase binding protein 1
A0A3Q2HH95,Serine/threonine kinase 24
A0A3Q2HHP6,Epidermal growth factor receptor pathway substrate 8
A0A3Q2HI41,G protein subunit alpha 11
A0A3Q2HI47,Tight junction protein 1
A0A3Q2HI93,Phospholipid transfer protein
A0A3Q2HI96,Monocarboxylate transporter 1
A0A3Q2HIC5,Abl interactor 1
A0A3Q2HID2,Coagulation factor XIII A chain
A0A3Q2HID9,Family with sequence similarity 120A
A0A3Q2HIE9,Myosin light chain 6
A0A3Q2HIU3,Non-specific serine/threonine protein kinase
A0A3Q2HIZ6,Nucleoside diphosphate kinase
A0A3Q2HJ63,Anoctamin
A0A3Q2HJD2,Cortactin
A0A3Q2HJD6,Phosphorylase b kinase regulatory subunit
