GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	acts_upstream_of	GO:0043433	negative regulation of DNA-binding transcription factor activity	ECO:0000314	IDA	PMID:30670152		9606	ARUK-UCL	has_input(UniProtKB:P40763),occurs_in(CL:0002618)	P
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	acts_upstream_of	GO:1904893	negative regulation of receptor signaling pathway via STAT	ECO:0000316	IGI	PMID:30670152	UniProtKB:P05231	9606	ARUK-UCL	has_input(UniProtKB:P40763),occurs_in(CL:0002618)	P
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	acts_upstream_of_or_within	GO:0042532	negative regulation of tyrosine phosphorylation of STAT protein	ECO:0000316	IGI	PMID:30670152	UniProtKB:P05231	9606	ARUK-UCL	occurs_in(CL:0002618)	P
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	acts_upstream_of_or_within	GO:0070104	negative regulation of interleukin-6-mediated signaling pathway	ECO:0000316	IGI	PMID:30670152	UniProtKB:P05231	9606	ARUK-UCL	occurs_in(CL:0002618)	P
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	acts_upstream_of_or_within	GO:1904995	negative regulation of leukocyte adhesion to vascular endothelial cell	ECO:0000316	IGI	PMID:30670152	RNAcentral:URS00005A4DCF_9606,UniProtKB:P05231	9606	ARUK-UCL	regulates_o_occurs_in(CL:0002618),regulates_o_occurs_in(CL:0000576)	P
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:30670152		9606	ARUK-UCL	has_input(UniProtKB:P05231),occurs_in(CL:0002618)	F
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:30670152		9606	ARUK-UCL	has_input(UniProtKB:P08887),occurs_in(CL:0002618)	F
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:30670152		9606	ARUK-UCL	has_input(UniProtKB:P40763),occurs_in(CL:0002618)	F
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	involved_in	GO:0032715	negative regulation of interleukin-6 production	ECO:0000314	IDA	PMID:30670152		9606	ARUK-UCL	occurs_in(CL:0002618),has_input(UniProtKB:P05231)	P
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:30670152		9606	ARUK-UCL	has_input(UniProtKB:P05231),part_of(GO:0032715),occurs_in(CL:0002618)	P
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:30670152		9606	ARUK-UCL	has_input(UniProtKB:P08887),part_of(GO:2000272),occurs_in(CL:0002618)	P
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	involved_in	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	ECO:0000314	IDA	PMID:30670152		9606	ARUK-UCL	has_input(UniProtKB:P40763),causally_upstream_of(GO:0043433),occurs_in(CL:0002618)	P
RNAcentral	URS000000B1C9_9606	Homo sapiens (human) hsa-let-7e-5p	involved_in	GO:2000272	negative regulation of signaling receptor activity	ECO:0000314	IDA	PMID:30670152		9606	ARUK-UCL	has_input(UniProtKB:P08887),occurs_in(CL:0002618)	P
RNAcentral	URS0000010C72_9606	Homo sapiens (human) hsa-miR-320d	part_of	GO:1903561	extracellular vesicle	ECO:0007005	HDA	PMID:28798470		9606	ARUK-UCL	produced_by(CL:0000182),existence_overlaps(GO:0098586)	C
RNAcentral	URS0000010D30_9606	Homo sapiens (human) hsa-miR-320c	part_of	GO:1903561	extracellular vesicle	ECO:0007005	HDA	PMID:28798470		9606	ARUK-UCL	produced_by(CL:0000182),existence_overlaps(GO:0098586)	C
